"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","eu_site_id","network_parameter_id","network_id","network_name","site_type","site_type_eu","region","agglomeration","database_name","site_friendly","variable_friendly"
"1",74195,"AB1","NOXasNO2",2006-11-09,2010-12-31,"measurement","Abingdon Stert St 2",NA,NA,"",NA,6,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ab1","nox"
"2",74193,"AB1","NO",2006-11-09,2010-12-31,"measurement","Abingdon Stert St 2",NA,NA,"",NA,4,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ab1","no"
"3",74194,"AB1","NO2",2006-11-09,2010-12-31,"measurement","Abingdon Stert St 2",NA,NA,"",NA,5,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ab1","no2"
"4",68776,"AYL9","NO2",2007-10-04,2010-03-18,"measurement","Aylesbury Bicester Road",51.824336,-0.831856,"",NA,5,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl9","no2"
"5",68777,"AYL9","NOXasNO2",2007-10-04,2010-03-18,"measurement","Aylesbury Bicester Road",51.824336,-0.831856,"",NA,6,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl9","nox"
"6",68775,"AYL9","NO",2007-10-04,2010-03-18,"measurement","Aylesbury Bicester Road",51.824336,-0.831856,"",NA,4,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl9","no"
"7",68785,"AYL7","NO2",2010-07-06,2013-12-18,"measurement","Aylesbury Friarage Road 2",51.816897,-0.818442,"",NA,5,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl7","no2"
"8",68786,"AYL7","NOXasNO2",2010-07-06,2013-12-18,"measurement","Aylesbury Friarage Road 2",51.816897,-0.818442,"",NA,6,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl7","nox"
"9",68784,"AYL7","NO",2010-07-06,2013-12-18,"measurement","Aylesbury Friarage Road 2",51.816897,-0.818442,"",NA,4,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl7","no"
"10",74606,"ALGY","NO",2010-11-22,2010-12-01,"measurement","Aylesbury Gyratory",NA,NA,"",NA,4,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","algy","no"
"11",74607,"ALGY","NO2",2010-11-22,2010-12-01,"measurement","Aylesbury Gyratory",NA,NA,"",NA,5,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","algy","no2"
"12",74608,"ALGY","NOXasNO2",2010-11-22,2010-12-01,"measurement","Aylesbury Gyratory",NA,NA,"",NA,6,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","algy","nox"
"13",68792,"AYL8","NO2",2006-03-02,2014-05-14,"measurement","Aylesbury Stoke Road A413",51.810183,-0.806675,"",NA,5,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl8","no2"
"14",68793,"AYL8","NOXasNO2",2006-03-02,2014-05-14,"measurement","Aylesbury Stoke Road A413",51.810183,-0.806675,"",NA,6,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl8","nox"
"15",68791,"AYL8","NO",2006-03-02,2014-05-14,"measurement","Aylesbury Stoke Road A413",51.810183,-0.806675,"",NA,4,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayl8","no"
"16",74853,"AYT0","NO2",2013-12-18,2016-04-11,"measurement","Aylesbury Tring Road 2",51.814165,-0.786939,NA,NA,5,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayt0","no2"
"17",74854,"AYT0","NOXasNO2",2013-12-18,2016-04-11,"measurement","Aylesbury Tring Road 2",51.814165,-0.786939,NA,NA,6,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayt0","nox"
"18",74852,"AYT0","NO",2013-12-18,2016-04-11,"measurement","Aylesbury Tring Road 2",51.814165,-0.786939,NA,NA,4,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","ayt0","no"
"19",74760,"AYLW","NO2",2012-06-25,2013-02-14,"measurement","Aylesbury Waddesdon",51.845601,-0.926102,NA,NA,5,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","aylw","no2"
"20",74761,"AYLW","NOXasNO2",2012-06-25,2013-02-14,"measurement","Aylesbury Waddesdon",51.845601,-0.926102,NA,NA,6,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","aylw","nox"
"21",74759,"AYLW","NO",2012-06-25,2013-02-14,"measurement","Aylesbury Waddesdon",51.845601,-0.926102,NA,NA,4,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","aylw","no"
"22",74874,"AY1","NOXasNO2",2014-05-14,NA,"measurement","Aylesbury Walton Street 2",51.812443,-0.808084,"",NA,6,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","ay1","nox"
"23",74873,"AY1","NO2",2014-05-14,NA,"measurement","Aylesbury Walton Street 2",51.812443,-0.808084,"",NA,5,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","ay1","no2"
"24",74872,"AY1","NO",2014-05-14,NA,"measurement","Aylesbury Walton Street 2",51.812443,-0.808084,"",NA,4,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","ay1","no"
"25",68804,"AYL1","NO2",2008-12-05,2010-10-01,"measurement","Aylesbury Winslow High St Roadside",51.943611,-0.881389,"",NA,5,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","ayl1","no2"
"26",68805,"AYL1","NOXasNO2",2008-12-05,2010-10-01,"measurement","Aylesbury Winslow High St Roadside",51.943611,-0.881389,"",NA,6,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","ayl1","nox"
"27",68803,"AYL1","NO",2008-12-05,2010-10-01,"measurement","Aylesbury Winslow High St Roadside",51.943611,-0.881389,"",NA,4,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","ayl1","no"
"28",74514,"BANB","NO2",2009-05-07,2012-04-16,"measurement","Banbury Hennef Way",52.075722,-1.326194,"33",NA,5,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","banb","no2"
"29",74515,"BANB","NOXasNO2",2009-05-07,2012-04-16,"measurement","Banbury Hennef Way",52.075722,-1.326194,"33",NA,6,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","banb","nox"
"30",74513,"BANB","NO",2009-05-07,2012-04-16,"measurement","Banbury Hennef Way",52.075722,-1.326194,"33",NA,4,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","banb","no"
"31",68813,"BAR6","NOXasNO2",2004-01-01,NA,"measurement","Barnsley A628 Pogmoor Roadside",53.551177,-1.50816,"",NA,6,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","bar6","nox"
"32",68811,"BAR6","NO",2004-01-01,NA,"measurement","Barnsley A628 Pogmoor Roadside",53.551177,-1.50816,"",NA,4,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","bar6","no"
"33",68812,"BAR6","NO2",2004-01-01,NA,"measurement","Barnsley A628 Pogmoor Roadside",53.551177,-1.50816,"",NA,5,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","bar6","no2"
"34",68815,"BAR9","NO2",2009-11-10,2015-03-31,"measurement","Barnsley A635 Kendray Roadside",53.546344,-1.452162,"",NA,5,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","bar9","no2"
"35",74858,"BAR9","GE10",2014-03-14,NA,"measurement","Barnsley A635 Kendray Roadside",53.546344,-1.452162,"",NA,3,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","bar9","ge10"
"36",68816,"BAR9","NOXasNO2",2009-11-10,2015-03-31,"measurement","Barnsley A635 Kendray Roadside",53.546344,-1.452162,"",NA,6,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","bar9","nox"
"37",68814,"BAR9","NO",2009-11-10,2015-03-31,"measurement","Barnsley A635 Kendray Roadside",53.546344,-1.452162,"",NA,4,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","bar9","no"
"38",74859,"BAR9","PM10",2014-03-14,NA,"measurement","Barnsley A635 Kendray Roadside",53.546344,-1.452162,"",NA,10,"aqe","Air Quality England","roadside","urban",NA,NA,"aqengland","bar9","pm10"
"39",74596,"BA10","DIR",2010-07-13,2011-04-28,"measurement","Barnsley Monckton",53.604327,-1.432051,"",NA,2,"aqe","Air Quality England","urban_industrial","urban_background",NA,NA,"aqengland","ba10","wd"
"40",74594,"BA10","PM10",2010-07-13,NA,"measurement","Barnsley Monckton",53.604327,-1.432051,"",NA,10,"aqe","Air Quality England","urban_industrial","urban_background",NA,NA,"aqengland","ba10","pm10"
"41",74597,"BA10","SPED",2010-07-13,2011-04-28,"measurement","Barnsley Monckton",53.604327,-1.432051,"",NA,16,"aqe","Air Quality England","urban_industrial","urban_background",NA,NA,"aqengland","ba10","ws"
"42",74595,"BA10","GE10",2010-07-13,2011-04-28,"measurement","Barnsley Monckton",53.604327,-1.432051,"",NA,3,"aqe","Air Quality England","urban_industrial","urban_background",NA,NA,"aqengland","ba10","ge10"
"43",68847,"BAR5","SPED",2004-09-16,2015-03-31,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,16,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","ws"
"44",68843,"BAR5","PM10",2003-01-01,2015-03-31,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,10,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","pm10"
"45",68839,"BAR5","DIR",2004-09-16,2015-03-31,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,2,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","wd"
"46",68844,"BAR5","GE10",2003-01-01,2015-03-31,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,3,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","ge10"
"47",68849,"BAR5","TMP",2004-01-01,2011-11-17,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,20,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","tmp"
"48",68846,"BAR5","SO2",2004-01-01,2013-01-04,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,15,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","so2"
"49",68841,"BAR5","NO2",2004-01-01,2009-10-10,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,5,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","no2"
"50",68848,"BAR5","T",2004-01-01,2015-03-31,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,17,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","temp"
"51",68845,"BAR5","PRES",2004-01-01,2004-01-01,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,12,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","pres"
"52",68840,"BAR5","NO",2004-01-01,2009-10-10,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,4,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","no"
"53",68842,"BAR5","NOXasNO2",2004-01-01,2009-10-10,"measurement","Barnsley Royston",53.600278,-1.439444,"",NA,6,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bar5","nox"
"54",74009,"BAI2","NO",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,4,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","no"
"55",74012,"BAI2","O3",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,9,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","o3"
"56",74015,"BAI2","PRES",2006-01-10,2013-05-15,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,12,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","pres"
"57",74018,"BAI2","DIR",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,2,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","wd"
"58",74007,"BAI2","T",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,17,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","temp"
"59",74010,"BAI2","NO2",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,5,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","no2"
"60",74013,"BAI2","PM10",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,10,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","pm10"
"61",74016,"BAI2","RH",2006-01-10,2013-05-15,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,14,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","rh"
"62",74019,"BAI2","SPED",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,16,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","ws"
"63",74008,"BAI2","CO",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,1,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","co"
"64",74011,"BAI2","NOXasNO2",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,6,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","nox"
"65",74014,"BAI2","GE10",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,3,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","ge10"
"66",74017,"BAI2","SO2",2006-01-10,NA,"measurement","Birmingham Airport 2",52.455719,-1.743912,"",NA,15,"aqe","Air Quality England","airport","suburban",NA,NA,"aqengland","bai2","so2"
"67",74494,"BIFS","NO",2009-01-01,NA,"measurement","Birmingham Fore Street",52.479324,-1.888011,"",NA,4,"aqe","Air Quality England","urban_centre","urban",NA,NA,"aqengland","bifs","no"
"68",74495,"BIFS","NO2",2009-01-01,NA,"measurement","Birmingham Fore Street",52.479324,-1.888011,"",NA,5,"aqe","Air Quality England","urban_centre","urban",NA,NA,"aqengland","bifs","no2"
"69",74496,"BIFS","NOXasNO2",2009-01-01,NA,"measurement","Birmingham Fore Street",52.479324,-1.888011,"",NA,6,"aqe","Air Quality England","urban_centre","urban",NA,NA,"aqengland","bifs","nox"
"70",74324,"BOL2","CO",2007-10-01,2011-03-22,"measurement","Bolton College",53.572222,-2.439444,"",NA,1,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","co"
"71",74327,"BOL2","NOXasNO2",2008-07-01,2011-03-22,"measurement","Bolton College",53.572222,-2.439444,"",NA,6,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","nox"
"72",74330,"BOL2","GE10",2008-07-01,2011-03-18,"measurement","Bolton College",53.572222,-2.439444,"",NA,3,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","ge10"
"73",74325,"BOL2","NO",2008-07-01,2011-03-22,"measurement","Bolton College",53.572222,-2.439444,"",NA,4,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","no"
"74",74328,"BOL2","O3",2008-07-01,2011-03-22,"measurement","Bolton College",53.572222,-2.439444,"",NA,9,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","o3"
"75",74331,"BOL2","PRES",2008-07-01,NA,"measurement","Bolton College",53.572222,-2.439444,"",NA,12,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","pres"
"76",74323,"BOL2","T",2008-07-01,NA,"measurement","Bolton College",53.572222,-2.439444,"",NA,17,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","temp"
"77",74326,"BOL2","NO2",2008-07-01,2011-03-22,"measurement","Bolton College",53.572222,-2.439444,"",NA,5,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","no2"
"78",74329,"BOL2","PM10",2008-07-01,NA,"measurement","Bolton College",53.572222,-2.439444,"",NA,10,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","pm10"
"79",74332,"BOL2","SO2",2007-10-01,2011-03-22,"measurement","Bolton College",53.572222,-2.439444,"",NA,15,"aqe","Air Quality England","urban_background","urban_background",NA,NA,"aqengland","bol2","so2"
"80",68851,"BOS2","NO",2004-07-21,2012-01-17,"measurement","Boston Haven Bridge Road",52.974256,-0.026847,"",NA,4,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bos2","no"
"81",68854,"BOS2","SPED",2004-07-21,2012-01-17,"measurement","Boston Haven Bridge Road",52.974256,-0.026847,"",NA,16,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bos2","ws"
"82",68852,"BOS2","NO2",2004-07-21,2012-01-17,"measurement","Boston Haven Bridge Road",52.974256,-0.026847,"",NA,5,"aqe","Air Quality England",NA,NA,NA,NA,"aqengland","bos2","no2"
