"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","network_parameter_id","network_id","network_name","site_type","region","agglomeration","database_name","site_friendly","variable_friendly"
"1",256,"ZA3","NO",2008-09-21,2011-04-07,"measurement","Ashford Background",51.1489,0.8789,NA,2,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za3","no"
"2",260,"ZA3","PM10",2008-09-21,2011-04-07,"measurement","Ashford Background",51.1489,0.8789,NA,7,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za3","pm10"
"3",257,"ZA3","NO2",2008-09-21,2011-04-07,"measurement","Ashford Background",51.1489,0.8789,NA,3,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za3","no2"
"4",261,"ZA3","T",2008-09-21,2011-04-07,"measurement","Ashford Background",51.1489,0.8789,NA,12,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za3","temp"
"5",263,"ZA3","O3",2008-10-01,2011-04-07,"measurement","Ashford Background",51.1489,0.8789,NA,6,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za3","o3"
"6",258,"ZA3","NOXasNO2",2008-09-21,2011-04-07,"measurement","Ashford Background",51.1489,0.8789,NA,4,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za3","nox"
"7",262,"ZA3","PRES",2008-09-21,2011-04-07,"measurement","Ashford Background",51.1489,0.8789,NA,35,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za3","pres"
"8",259,"ZA3","GE10",2008-09-21,2011-04-07,"measurement","Ashford Background",51.1489,0.8789,NA,5,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za3","ge10"
"9",279,"ZA4","NO",2009-10-13,2010-11-10,"measurement","Ashford M20 Background",51.141914,0.906536,NA,2,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za4","no"
"10",280,"ZA4","NO2",2009-10-13,2010-11-10,"measurement","Ashford M20 Background",51.141914,0.906536,NA,3,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za4","no2"
"11",281,"ZA4","NOXasNO2",2009-10-13,2010-11-10,"measurement","Ashford M20 Background",51.141914,0.906536,NA,4,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","za4","nox"
"12",50,"ZA2","NO2",2002-01-17,2008-09-18,"measurement","Ashford Roadside",51.149702,0.876227,NA,3,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","za2","no2"
"13",211,"ZA2","PRES",2002-01-17,2008-09-18,"measurement","Ashford Roadside",51.149702,0.876227,NA,35,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","za2","pres"
"14",90,"ZA2","NO",2002-01-17,2008-09-18,"measurement","Ashford Roadside",51.149702,0.876227,NA,2,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","za2","no"
"15",51,"ZA2","PM10",2002-01-17,2008-09-18,"measurement","Ashford Roadside",51.149702,0.876227,NA,7,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","za2","pm10"
"16",115,"ZA2","NOXasNO2",2002-01-17,2008-09-18,"measurement","Ashford Roadside",51.149702,0.876227,NA,4,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","za2","nox"
"17",130,"ZA2","GE10",2002-01-17,2008-09-18,"measurement","Ashford Roadside",51.149702,0.876227,NA,5,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","za2","ge10"
"18",156,"ZA2","T",2002-01-17,2008-09-18,"measurement","Ashford Roadside",51.149702,0.876227,NA,12,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","za2","temp"
"19",190,"ZA1","T",1998-05-05,2001-01-18,"measurement","Ashford Rural",51.174326,0.75345,NA,29,"kentr","Automatic Rural Monitoring","rural",NA,NA,"kent","za1","temp"
"20",187,"ZA1","GE10",1998-04-29,2001-01-18,"measurement","Ashford Rural",51.174326,0.75345,NA,22,"kentr","Automatic Rural Monitoring","rural",NA,NA,"kent","za1","ge10"
"21",188,"ZA1","PM10",1998-04-29,2001-01-18,"measurement","Ashford Rural",51.174326,0.75345,NA,25,"kentr","Automatic Rural Monitoring","rural",NA,NA,"kent","za1","pm10"
"22",212,"ZA1","PRES",1998-04-29,2001-01-18,"measurement","Ashford Rural",51.174326,0.75345,NA,34,"kentr","Automatic Rural Monitoring","rural",NA,NA,"kent","za1","pres"
"23",189,"ZA1","O3",1998-04-29,2001-01-18,"measurement","Ashford Rural",51.174326,0.75345,NA,27,"kentr","Automatic Rural Monitoring","rural",NA,NA,"kent","za1","o3"
"24",46,"CANT","PM10",2001-01-02,NA,"measurement","Canterbury",51.27399,1.098061,"35",7,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","cant","pm10"
"25",128,"CANT","GE10",2001-01-02,NA,"measurement","Canterbury",51.27399,1.098061,"35",5,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","cant","ge10"
"26",298,"CANT","O3",2011-03-15,NA,"measurement","Canterbury",51.27399,1.098061,"35",6,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","cant","o3"
"27",45,"CANT","NO2",2001-02-01,NA,"measurement","Canterbury",51.27399,1.098061,"35",3,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","cant","no2"
"28",88,"CANT","NO",2001-02-01,NA,"measurement","Canterbury",51.27399,1.098061,"35",2,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","cant","no"
"29",113,"CANT","NOXasNO2",2001-02-01,NA,"measurement","Canterbury",51.27399,1.098061,"35",4,"kentu","Automatic Urban Monitoring","urban_background",NA,NA,"kent","cant","nox"
"30",245,"ZY3","NOXasNO2",2006-10-01,NA,"measurement","Canterbury Military Road",51.281919,1.087316,"",4,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","zy3","nox"
"31",243,"ZY3","NO2",2006-10-01,NA,"measurement","Canterbury Military Road",51.281919,1.087316,"",3,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","zy3","no2"
"32",244,"ZY3","NO",2006-10-01,NA,"measurement","Canterbury Military Road",51.281919,1.087316,"",2,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","zy3","no"
"33",85,"ZY2","NO",1999-02-08,2016-04-07,"measurement","Canterbury Roadside",51.28374,1.071065,NA,2,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","zy2","no"
"34",110,"ZY2","NOXasNO2",1999-02-08,2016-04-07,"measurement","Canterbury Roadside",51.28374,1.071065,NA,4,"kentu","Automatic Urban Monitoring","roadside",NA,NA,"kent","zy2","nox"
