"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","network_parameter_id","network_id","network_name","site_type","region","agglomeration","database_name","site_friendly","variable_friendly"
"1",2,"10001","bs",1961-04-04,1982-03-29,"md_measurement","ABERDEEN 1",NA,NA,NA,38,"smso2","Smoke and SO2 Network",NA,"North East Scotland",NA,"scotarc","10001","bs"
"2",1,"10001","SO2",1961-04-04,1982-03-29,"md_measurement","ABERDEEN 1",NA,NA,NA,37,"smso2","Smoke and SO2 Network",NA,"North East Scotland",NA,"scotarc","10001","so2"
"3",1641,"81560","NO2",1992-12-29,NA,"md_measurement","ABERDEEN 1N",NA,NA,"19",94,"24","NO2 Diffusion Tube",NA,"North East Scotland",NA,"scotarc","81560","no2"
"4",3,"10002","SO2",1961-04-04,1992-03-30,"md_measurement","ABERDEEN 2",NA,NA,NA,37,"smso2","Smoke and SO2 Network",NA,"North East Scotland",NA,"scotarc","10002","so2"
"5",4,"10002","bs",1961-04-04,1992-03-30,"md_measurement","ABERDEEN 2",NA,NA,NA,38,"smso2","Smoke and SO2 Network",NA,"North East Scotland",NA,"scotarc","10002","bs"
"6",1642,"81561","NO2",1992-12-29,2000-11-28,"md_measurement","ABERDEEN 2N",NA,NA,"80",94,"24","NO2 Diffusion Tube",NA,"North East Scotland",NA,"scotarc","81561","no2"
"7",6,"10003","bs",1991-04-02,2005-05-11,"md_measurement","ABERDEEN 3",NA,NA,NA,38,"smso2","Smoke and SO2 Network",NA,"North East Scotland",NA,"scotarc","10003","bs"
"8",5,"10003","SO2",1991-04-02,2005-05-11,"md_measurement","ABERDEEN 3",NA,NA,NA,37,"smso2","Smoke and SO2 Network",NA,"North East Scotland",NA,"scotarc","10003","so2"
"9",1643,"81562","NO2",1992-12-29,NA,"md_measurement","ABERDEEN 3N",NA,NA,"100",94,"24","NO2 Diffusion Tube",NA,"North East Scotland",NA,"scotarc","81562","no2"
"10",1644,"81563","NO2",1992-12-29,NA,"md_measurement","ABERDEEN 4N",NA,NA,"145",94,"24","NO2 Diffusion Tube",NA,"North East Scotland",NA,"scotarc","81563","no2"
"11",1832,"83589","NO2",2001-01-02,NA,"md_measurement","ABERDEEN 5N",NA,NA,"28",94,"24","NO2 Diffusion Tube",NA,"North East Scotland",NA,"scotarc","83589","no2"
"12",2250,"ABD1","PM10",2005-01-01,NA,"measurement","Aberdeen Anderson Dr",57.128567,-2.125447,"19",999,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd1","pm10"
"13",2880,"ABD1","M_DIR",2010-08-01,NA,"measurement","Aberdeen Anderson Dr",57.128567,-2.125447,"19",1374,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd1","wd"
"14",2247,"ABD1","NO2",2005-01-01,NA,"measurement","Aberdeen Anderson Dr",57.128567,-2.125447,"19",3,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd1","no2"
"15",2248,"ABD1","GE10",2005-01-01,NA,"measurement","Aberdeen Anderson Dr",57.128567,-2.125447,"19",6,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd1","ge10"
"16",2878,"ABD1","M_T",2010-08-01,NA,"measurement","Aberdeen Anderson Dr",57.128567,-2.125447,"19",1372,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd1","temp"
"17",2249,"ABD1","NOXasNO2",2005-01-01,NA,"measurement","Aberdeen Anderson Dr",57.128567,-2.125447,"19",9,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd1","nox"
"18",2879,"ABD1","M_SPED",2010-08-01,NA,"measurement","Aberdeen Anderson Dr",57.128567,-2.125447,"19",1373,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd1","ws"
"19",2246,"ABD1","NO",2005-01-01,NA,"measurement","Aberdeen Anderson Dr",57.128567,-2.125447,"19",2,"saun","Scottish Automatic Urban Network","urban_background","North East Scotland",NA,"scotarc","abd1","no"
