"","site_network_id","site","variable","date_started","date_ended","data_table","site_name","latitude","longitude","altitude","network_parameter_id","network_id","network_name","site_type","region","agglomeration","database_name","site_friendly","variable_friendly"
"1",2618,"VGBC-075","NO2",2012-01-31,NA,"measurement","'Catalina', Y Rhodfa. Barry Waterfront",NA,NA,"",15,"no2d","NO2 Diffusion Tube sites","kerbside","Unknown",NA,"waq","vgbc-075","no2"
"2",1451,"SCCS-025","NO2",2001-04-11,2002-04-30,"measurement"," Bowen Street, Hafod",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","urban_background","Unknown",NA,"waq","sccs-025","no2"
"3",1452,"SCCS-026","NO2",2001-04-11,2002-04-30,"measurement"," Bowen Street, Hafod",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","urban_background","Unknown",NA,"waq","sccs-026","no2"
"4",1431,"SCCS-005","NO2",2001-04-11,2002-04-30,"measurement"," Clase Road, Morriston",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-005","no2"
"5",1429,"SCCS-003","NO2",2001-04-11,2002-04-30,"measurement"," Clasemont Road, Morriston",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-003","no2"
"6",1441,"SCCS-015","NO2",2001-04-11,2002-04-30,"measurement"," Cwm Level Road, Plasmarl",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-015","no2"
"7",2563,"SCCS-404","NO2",2009-11-05,2011-06-30,"measurement"," Cwmbath Road, Morriston",0,0,"          ",15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-404","no2"
"8",1464,"SCCS-038","NO2",2001-04-11,2002-04-30,"measurement"," Dyfatty Street, Dyfatty",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-038","no2"
"9",1446,"SCCS-020","NO2",2001-04-11,2002-04-30,"measurement"," Field Street, Landore",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","urban_background","Unknown",NA,"waq","sccs-020","no2"
"10",1459,"SCCS-033","NO2",2001-04-11,2002-04-30,"measurement"," Harrington Place, Dyfatty",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","urban_background","Unknown",NA,"waq","sccs-033","no2"
"11",1465,"SCCS-039","NO2",2001-04-11,2002-04-30,"measurement"," High Street, Swansea",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-039","no2"
"12",1470,"SCCS-044","NO2",2001-04-11,2002-04-30,"measurement"," High Street, Swansea",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-044","no2"
"13",1439,"SCCS-013","NO2",2001-04-11,2002-04-30,"measurement"," Jersey Road, Bonymaen",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","urban_background","Unknown",NA,"waq","sccs-013","no2"
"14",1476,"SCCS-050","NO2",2001-04-11,2002-04-30,"measurement"," Kilvey Road, Pentrechwyth",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","urban_background","Unknown",NA,"waq","sccs-050","no2"
"15",1445,"SCCS-019","NO2",2001-04-11,2002-04-30,"measurement"," Llangyfelach Road, Brynhyfryd",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-019","no2"
"16",1434,"SCCS-008","NO2",2001-04-11,2002-04-30,"measurement"," Llangyfelach Road, Treboeth",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-008","no2"
"17",1436,"SCCS-010","NO2",2001-04-11,2002-04-30,"measurement"," Llangyfelach Road, Treboth",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-010","no2"
"18",1460,"SCCS-034","NO2",2001-04-11,2002-04-30,"measurement"," Llangyfelach Street, Dyfatty",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-034","no2"
"19",1433,"SCCS-007","NO2",2001-04-11,2002-04-30,"measurement"," Martin Street, Morriston",NA,NA,NA,15,"no2d","NO2 Diffusion Tube sites","roadside","Unknown",NA,"waq","sccs-007","no2"
