,date,date_end,site,site_name,variable,site_network_id,value,ratified_id,period,less_than,unit_name,period_name,network_parameter_id,network_id
821,18/09/2016 00:00,18/09/2016 01:00,bex,London Bexley,no2,233,5.92875,1,1,0,ugm-3,hourly,3,kentu
822,18/09/2016 01:00,18/09/2016 02:00,bex,London Bexley,no2,233,5.7375,1,1,0,ugm-3,hourly,3,kentu
823,18/09/2016 02:00,18/09/2016 03:00,bex,London Bexley,no2,233,9.945,1,1,0,ugm-3,hourly,3,kentu
824,18/09/2016 03:00,18/09/2016 04:00,bex,London Bexley,no2,233,12.81375,1,1,0,ugm-3,hourly,3,kentu
825,18/09/2016 04:00,18/09/2016 05:00,bex,London Bexley,no2,233,9.37125,1,1,0,ugm-3,hourly,3,kentu
826,18/09/2016 05:00,18/09/2016 06:00,bex,London Bexley,no2,233,13.005,1,1,0,ugm-3,hourly,3,kentu
827,18/09/2016 06:00,18/09/2016 07:00,bex,London Bexley,no2,233,12.24,1,1,0,ugm-3,hourly,3,kentu
828,18/09/2016 07:00,18/09/2016 08:00,bex,London Bexley,no2,233,12.6225,1,1,0,ugm-3,hourly,3,kentu
829,18/09/2016 08:00,18/09/2016 09:00,bex,London Bexley,no2,233,11.66625,1,1,0,ugm-3,hourly,3,kentu
830,18/09/2016 09:00,18/09/2016 10:00,bex,London Bexley,no2,233,15.87375,1,1,0,ugm-3,hourly,3,kentu
831,18/09/2016 10:00,18/09/2016 11:00,bex,London Bexley,no2,233,14.1525,1,1,0,ugm-3,hourly,3,kentu
832,18/09/2016 11:00,18/09/2016 12:00,bex,London Bexley,no2,233,11.8575,1,1,0,ugm-3,hourly,3,kentu
833,18/09/2016 12:00,18/09/2016 13:00,bex,London Bexley,no2,233,11.475,1,1,0,ugm-3,hourly,3,kentu
834,18/09/2016 13:00,18/09/2016 14:00,bex,London Bexley,no2,233,7.07625,1,1,0,ugm-3,hourly,3,kentu
835,18/09/2016 14:00,18/09/2016 15:00,bex,London Bexley,no2,233,10.51875,1,1,0,ugm-3,hourly,3,kentu
836,18/09/2016 15:00,18/09/2016 16:00,bex,London Bexley,no2,233,10.3275,1,1,0,ugm-3,hourly,3,kentu
837,18/09/2016 16:00,18/09/2016 17:00,bex,London Bexley,no2,233,13.57875,1,1,0,ugm-3,hourly,3,kentu
838,18/09/2016 17:00,18/09/2016 18:00,bex,London Bexley,no2,233,20.2725,1,1,0,ugm-3,hourly,3,kentu
839,18/09/2016 18:00,18/09/2016 19:00,bex,London Bexley,no2,233,27.54,1,1,0,ugm-3,hourly,3,kentu
