,date,date_end,site,site_name,variable,site_network_id,value,data_capture,ratified_id,period,less_than,liquid_volume,funnel_diameter,emep_code,unit_name,period_name,network_parameter_id,network_id
1,23/09/2016 00:00,23/09/2016 01:00,abd,Aberdeen Errol Place,no2,2003,5.7375,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
2,23/09/2016 01:00,23/09/2016 02:00,abd,Aberdeen Errol Place,no2,2003,3.825,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
3,23/09/2016 02:00,23/09/2016 03:00,abd,Aberdeen Errol Place,no2,2003,1.9125,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
4,23/09/2016 03:00,23/09/2016 04:00,abd,Aberdeen Errol Place,no2,2003,17.2125,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
5,23/09/2016 04:00,23/09/2016 05:00,abd,Aberdeen Errol Place,no2,2003,28.6875,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
6,23/09/2016 05:00,23/09/2016 06:00,abd,Aberdeen Errol Place,no2,2003,36.3375,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
7,23/09/2016 06:00,23/09/2016 07:00,abd,Aberdeen Errol Place,no2,2003,42.075,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
8,23/09/2016 07:00,23/09/2016 08:00,abd,Aberdeen Errol Place,no2,2003,38.25,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
9,23/09/2016 08:00,23/09/2016 09:00,abd,Aberdeen Errol Place,no2,2003,22.95,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
10,23/09/2016 09:00,23/09/2016 10:00,abd,Aberdeen Errol Place,no2,2003,15.3,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
11,23/09/2016 10:00,23/09/2016 11:00,abd,Aberdeen Errol Place,no2,2003,9.5625,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
12,23/09/2016 11:00,23/09/2016 12:00,abd,Aberdeen Errol Place,no2,2003,11.475,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
13,23/09/2016 12:00,23/09/2016 13:00,abd,Aberdeen Errol Place,no2,2003,15.3,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
14,23/09/2016 13:00,23/09/2016 14:00,abd,Aberdeen Errol Place,no2,2003,17.2125,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
15,23/09/2016 14:00,23/09/2016 15:00,abd,Aberdeen Errol Place,no2,2003,28.6875,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
16,23/09/2016 15:00,23/09/2016 16:00,abd,Aberdeen Errol Place,no2,2003,34.425,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
17,23/09/2016 16:00,23/09/2016 17:00,abd,Aberdeen Errol Place,no2,2003,40.1625,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
18,23/09/2016 17:00,23/09/2016 18:00,abd,Aberdeen Errol Place,no2,2003,34.425,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
19,23/09/2016 18:00,23/09/2016 19:00,abd,Aberdeen Errol Place,no2,2003,15.3,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
20,23/09/2016 19:00,23/09/2016 20:00,abd,Aberdeen Errol Place,no2,2003,9.5625,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
21,23/09/2016 20:00,23/09/2016 21:00,abd,Aberdeen Errol Place,no2,2003,7.65,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
22,23/09/2016 21:00,23/09/2016 22:00,abd,Aberdeen Errol Place,no2,2003,5.7375,NA,1,1,0,NA,NA,NA,ugm-3,hourly,3,saun
