,date,date_end,site,site_name,variable,site_network_id,value,ratified_id,period,less_than,unit_name,period_name,network_parameter_id,network_id
1,23/09/2016 00:00,23/09/2016 01:00,ah,Aston Hill,no2,1182,1.53,1,1,0,ugm-3,hourly,74,warn
2,23/09/2016 01:00,23/09/2016 02:00,ah,Aston Hill,no2,1182,0.95625,1,1,0,ugm-3,hourly,74,warn
3,23/09/2016 02:00,23/09/2016 03:00,ah,Aston Hill,no2,1182,0.95625,1,1,0,ugm-3,hourly,74,warn
4,23/09/2016 03:00,23/09/2016 04:00,ah,Aston Hill,no2,1182,0.95625,1,1,0,ugm-3,hourly,74,warn
5,23/09/2016 04:00,23/09/2016 05:00,ah,Aston Hill,no2,1182,1.1475,1,1,0,ugm-3,hourly,74,warn
6,23/09/2016 05:00,23/09/2016 06:00,ah,Aston Hill,no2,1182,1.1475,1,1,0,ugm-3,hourly,74,warn
7,23/09/2016 06:00,23/09/2016 07:00,ah,Aston Hill,no2,1182,1.1475,1,1,0,ugm-3,hourly,74,warn
8,23/09/2016 07:00,23/09/2016 08:00,ah,Aston Hill,no2,1182,1.72125,1,1,0,ugm-3,hourly,74,warn
9,23/09/2016 08:00,23/09/2016 09:00,ah,Aston Hill,no2,1182,2.6775,1,1,0,ugm-3,hourly,74,warn
10,23/09/2016 09:00,23/09/2016 10:00,ah,Aston Hill,no2,1182,2.10375,1,1,0,ugm-3,hourly,74,warn
11,23/09/2016 10:00,23/09/2016 11:00,ah,Aston Hill,no2,1182,1.53,1,1,0,ugm-3,hourly,74,warn
12,23/09/2016 11:00,23/09/2016 12:00,ah,Aston Hill,no2,1182,1.9125,1,1,0,ugm-3,hourly,74,warn
13,23/09/2016 12:00,23/09/2016 13:00,ah,Aston Hill,no2,1182,1.72125,1,1,0,ugm-3,hourly,74,warn
14,23/09/2016 13:00,23/09/2016 14:00,ah,Aston Hill,no2,1182,1.53,1,1,0,ugm-3,hourly,74,warn
15,23/09/2016 14:00,23/09/2016 15:00,ah,Aston Hill,no2,1182,1.53,1,1,0,ugm-3,hourly,74,warn
16,23/09/2016 15:00,23/09/2016 16:00,ah,Aston Hill,no2,1182,1.72125,1,1,0,ugm-3,hourly,74,warn
17,23/09/2016 16:00,23/09/2016 17:00,ah,Aston Hill,no2,1182,2.295,1,1,0,ugm-3,hourly,74,warn
18,23/09/2016 17:00,23/09/2016 18:00,ah,Aston Hill,no2,1182,2.86875,1,1,0,ugm-3,hourly,74,warn
19,23/09/2016 18:00,23/09/2016 19:00,ah,Aston Hill,no2,1182,3.06,1,1,0,ugm-3,hourly,74,warn
20,23/09/2016 19:00,23/09/2016 20:00,ah,Aston Hill,no2,1182,3.825,1,1,0,ugm-3,hourly,74,warn
21,23/09/2016 20:00,23/09/2016 21:00,ah,Aston Hill,no2,1182,4.78125,1,1,0,ugm-3,hourly,74,warn
22,23/09/2016 21:00,23/09/2016 22:00,ah,Aston Hill,no2,1182,4.2075,1,1,0,ugm-3,hourly,74,warn
23,23/09/2016 22:00,23/09/2016 23:00,ah,Aston Hill,no2,1182,4.2075,1,1,0,ugm-3,hourly,74,warn
24,NA,NA,ah,Aston Hill,no2,1182,3.825,1,1,0,ugm-3,hourly,74,warn
25,24/09/2016 00:00,24/09/2016 01:00,ah,Aston Hill,no2,1182,3.63375,1,1,0,ugm-3,hourly,74,warn
26,24/09/2016 01:00,24/09/2016 02:00,ah,Aston Hill,no2,1182,3.25125,1,1,0,ugm-3,hourly,74,warn
27,24/09/2016 02:00,24/09/2016 03:00,ah,Aston Hill,no2,1182,3.4425,1,1,0,ugm-3,hourly,74,warn
28,24/09/2016 03:00,24/09/2016 04:00,ah,Aston Hill,no2,1182,3.06,1,1,0,ugm-3,hourly,74,warn
29,24/09/2016 04:00,24/09/2016 05:00,ah,Aston Hill,no2,1182,2.10375,1,1,0,ugm-3,hourly,74,warn
30,24/09/2016 05:00,24/09/2016 06:00,ah,Aston Hill,no2,1182,1.72125,1,1,0,ugm-3,hourly,74,warn
31,24/09/2016 06:00,24/09/2016 07:00,ah,Aston Hill,no2,1182,1.53,1,1,0,ugm-3,hourly,74,warn
32,24/09/2016 07:00,24/09/2016 08:00,ah,Aston Hill,no2,1182,1.9125,1,1,0,ugm-3,hourly,74,warn
33,24/09/2016 08:00,24/09/2016 09:00,ah,Aston Hill,no2,1182,1.9125,1,1,0,ugm-3,hourly,74,warn
34,24/09/2016 09:00,24/09/2016 10:00,ah,Aston Hill,no2,1182,2.48625,1,1,0,ugm-3,hourly,74,warn
35,24/09/2016 10:00,24/09/2016 11:00,ah,Aston Hill,no2,1182,3.25125,1,1,0,ugm-3,hourly,74,warn
36,24/09/2016 11:00,24/09/2016 12:00,ah,Aston Hill,no2,1182,3.25125,1,1,0,ugm-3,hourly,74,warn
37,24/09/2016 12:00,24/09/2016 13:00,ah,Aston Hill,no2,1182,3.25125,1,1,0,ugm-3,hourly,74,warn
38,24/09/2016 13:00,24/09/2016 14:00,ah,Aston Hill,no2,1182,2.6775,1,1,0,ugm-3,hourly,74,warn
39,24/09/2016 14:00,24/09/2016 15:00,ah,Aston Hill,no2,1182,2.48625,1,1,0,ugm-3,hourly,74,warn
40,24/09/2016 15:00,24/09/2016 16:00,ah,Aston Hill,no2,1182,2.48625,1,1,0,ugm-3,hourly,74,warn
41,24/09/2016 16:00,24/09/2016 17:00,ah,Aston Hill,no2,1182,2.6775,1,1,0,ugm-3,hourly,74,warn
42,24/09/2016 17:00,24/09/2016 18:00,ah,Aston Hill,no2,1182,3.4425,1,1,0,ugm-3,hourly,74,warn
43,24/09/2016 18:00,24/09/2016 19:00,ah,Aston Hill,no2,1182,3.4425,1,1,0,ugm-3,hourly,74,warn
44,24/09/2016 19:00,24/09/2016 20:00,ah,Aston Hill,no2,1182,3.25125,1,1,0,ugm-3,hourly,74,warn
45,24/09/2016 20:00,24/09/2016 21:00,ah,Aston Hill,no2,1182,2.86875,1,1,0,ugm-3,hourly,74,warn
46,24/09/2016 21:00,24/09/2016 22:00,ah,Aston Hill,no2,1182,2.6775,1,1,0,ugm-3,hourly,74,warn
47,24/09/2016 22:00,24/09/2016 23:00,ah,Aston Hill,no2,1182,2.10375,1,1,0,ugm-3,hourly,74,warn
48,NA,NA,ah,Aston Hill,no2,1182,1.53,1,1,0,ugm-3,hourly,74,warn
49,23/09/2016 00:00,23/09/2016 01:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
50,23/09/2016 01:00,23/09/2016 02:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
51,23/09/2016 02:00,23/09/2016 03:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
52,23/09/2016 03:00,23/09/2016 04:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
53,23/09/2016 04:00,23/09/2016 05:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
54,23/09/2016 05:00,23/09/2016 06:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
55,23/09/2016 06:00,23/09/2016 07:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
56,23/09/2016 07:00,23/09/2016 08:00,ah,Aston Hill,o3,1183,46.69938,1,1,0,ugm-3,hourly,77,warn
57,23/09/2016 08:00,23/09/2016 09:00,ah,Aston Hill,o3,1183,41.9097,1,1,0,ugm-3,hourly,77,warn
58,23/09/2016 09:00,23/09/2016 10:00,ah,Aston Hill,o3,1183,51.68863,1,1,0,ugm-3,hourly,77,warn
59,23/09/2016 10:00,23/09/2016 11:00,ah,Aston Hill,o3,1183,50.09207,1,1,0,ugm-3,hourly,77,warn
60,23/09/2016 11:00,23/09/2016 12:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
61,23/09/2016 12:00,23/09/2016 13:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
62,23/09/2016 13:00,23/09/2016 14:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
63,23/09/2016 14:00,23/09/2016 15:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
64,23/09/2016 15:00,23/09/2016 16:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
65,23/09/2016 16:00,23/09/2016 17:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
66,23/09/2016 17:00,23/09/2016 18:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
67,23/09/2016 18:00,23/09/2016 19:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
68,23/09/2016 19:00,23/09/2016 20:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
69,23/09/2016 20:00,23/09/2016 21:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
70,23/09/2016 21:00,23/09/2016 22:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
71,23/09/2016 22:00,23/09/2016 23:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
72,NA,NA,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
73,24/09/2016 00:00,24/09/2016 01:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
74,24/09/2016 01:00,24/09/2016 02:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
75,24/09/2016 02:00,24/09/2016 03:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
76,24/09/2016 03:00,24/09/2016 04:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
77,24/09/2016 04:00,24/09/2016 05:00,ah,Aston Hill,o3,1183,NA,1,1,0,ugm-3,hourly,77,warn
