"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"2",74194,"ab1","Abingdon Stert St 2","no2",2006-11-09,2010-12-31,NA,NA,NA,"measurement","aqengland"
"3",68776,"ayl9","Aylesbury Bicester Road","no2",2007-10-04,2010-03-18,NA,51.824336,-0.831856,"measurement","aqengland"
"5",68785,"ayl7","Aylesbury Friarage Road 2","no2",2010-07-06,2013-12-18,NA,51.816897,-0.818442,"measurement","aqengland"
"7",74607,"algy","Aylesbury Gyratory","no2",2010-11-22,2010-12-01,NA,NA,NA,"measurement","aqengland"
"9",68792,"ayl8","Aylesbury Stoke Road A413","no2",2006-03-02,2014-05-14,NA,51.810183,-0.806675,"measurement","aqengland"
"11",74853,"ayt0","Aylesbury Tring Road 2","no2",2013-12-18,2016-04-11,NA,51.814165,-0.786939,"measurement","aqengland"
"13",74760,"aylw","Aylesbury Waddesdon","no2",2012-06-25,2013-02-14,"roadside",51.845601,-0.926102,"measurement","aqengland"
"16",74873,"ay1","Aylesbury Walton Street 2","no2",2014-05-14,NA,"roadside",51.812443,-0.808084,"measurement","aqengland"
"17",68804,"ayl1","Aylesbury Winslow High St Roadside","no2",2008-12-05,2010-10-01,"roadside",51.943611,-0.881389,"measurement","aqengland"
"19",74514,"banb","Banbury Hennef Way","no2",2009-05-07,2012-04-16,"urban_background",52.075722,-1.326194,"measurement","aqengland"
"22",68812,"bar6","Barnsley A628 Pogmoor Roadside","no2",2004-01-01,NA,"roadside",53.551177,-1.50816,"measurement","aqengland"
"23",68815,"bar9","Barnsley A635 Kendray Roadside","no2",2009-11-10,2015-03-31,"roadside",53.546344,-1.452162,"measurement","aqengland"
"25",74859,"bar9","Barnsley A635 Kendray Roadside","pm10",2014-03-14,NA,"roadside",53.546344,-1.452162,"measurement","aqengland"
"26",74594,"ba10","Barnsley Monckton","pm10",2010-07-13,NA,"urban_industrial",53.604327,-1.432051,"measurement","aqengland"
"27",68843,"bar5","Barnsley Royston","pm10",2003-01-01,2015-03-31,NA,53.600278,-1.439444,"measurement","aqengland"
"28",68841,"bar5","Barnsley Royston","no2",2004-01-01,2009-10-10,NA,53.600278,-1.439444,"measurement","aqengland"
"30",74012,"bai2","Birmingham Airport 2","o3",2006-01-10,NA,"airport",52.455719,-1.743912,"measurement","aqengland"
"31",74010,"bai2","Birmingham Airport 2","no2",2006-01-10,NA,"airport",52.455719,-1.743912,"measurement","aqengland"
"32",74013,"bai2","Birmingham Airport 2","pm10",2006-01-10,NA,"airport",52.455719,-1.743912,"measurement","aqengland"
"33",74008,"bai2","Birmingham Airport 2","co",2006-01-10,NA,"airport",52.455719,-1.743912,"measurement","aqengland"
"35",74495,"bifs","Birmingham Fore Street","no2",2009-01-01,NA,"urban_centre",52.479324,-1.888011,"measurement","aqengland"
"37",74324,"bol2","Bolton College","co",2007-10-01,2011-03-22,"urban_background",53.572222,-2.439444,"measurement","aqengland"
"41",74328,"bol2","Bolton College","o3",2008-07-01,2011-03-22,"urban_background",53.572222,-2.439444,"measurement","aqengland"
"44",74326,"bol2","Bolton College","no2",2008-07-01,2011-03-22,"urban_background",53.572222,-2.439444,"measurement","aqengland"
"45",74329,"bol2","Bolton College","pm10",2008-07-01,NA,"urban_background",53.572222,-2.439444,"measurement","aqengland"
"47",68852,"bos2","Boston Haven Bridge Road","no2",2004-07-21,2012-01-17,NA,52.974256,-0.026847,"measurement","aqengland"
