"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"1",263,"za3","Ashford Background","o3",2008-10-01,2011-04-07,"urban_background",51.1489,0.8789,"measurement","kent"
"3",260,"za3","Ashford Background","pm10",2008-09-21,2011-04-07,"urban_background",51.1489,0.8789,"measurement","kent"
"4",257,"za3","Ashford Background","no2",2008-09-21,2011-04-07,"urban_background",51.1489,0.8789,"measurement","kent"
"6",280,"za4","Ashford M20 Background","no2",2009-10-13,2010-11-10,"urban_background",51.141914,0.906536,"measurement","kent"
"7",51,"za2","Ashford Roadside","pm10",2002-01-17,2008-09-18,"roadside",51.149702,0.876227,"measurement","kent"
"9",50,"za2","Ashford Roadside","no2",2002-01-17,2008-09-18,"roadside",51.149702,0.876227,"measurement","kent"
"10",188,"za1","Ashford Rural","pm10",1998-04-29,2001-01-18,"rural",51.174326,0.75345,"measurement","kent"
"11",189,"za1","Ashford Rural","o3",1998-04-29,2001-01-18,"rural",51.174326,0.75345,"measurement","kent"
"12",298,"cant","Canterbury","o3",2011-03-15,NA,"urban_background",51.27399,1.098061,"measurement","kent"
"13",45,"cant","Canterbury","no2",2001-02-01,NA,"urban_background",51.27399,1.098061,"measurement","kent"
"15",46,"cant","Canterbury","pm10",2001-01-02,NA,"urban_background",51.27399,1.098061,"measurement","kent"
"16",243,"zy3","Canterbury Military Road","no2",2006-10-01,NA,"roadside",51.281919,1.087316,"measurement","kent"
"18",37,"zy2","Canterbury Roadside","no2",1999-02-08,2016-04-07,"roadside",51.28374,1.071065,"measurement","kent"
"19",38,"zy2","Canterbury Roadside","co",1999-05-25,2005-12-29,"roadside",51.28374,1.071065,"measurement","kent"
"21",283,"zy4","Canterbury St. Peters Place","no2",2009-07-30,2016-04-07,"roadside",51.279237,1.073676,"measurement","kent"
"23",7,"zl1","Chatham Luton Background","co",1997-01-09,2014-03-20,"urban_background",51.371253,0.542978,"measurement","kent"
"24",8,"zl1","Chatham Luton Background","no2",1997-01-09,2014-03-20,"urban_background",51.371253,0.542978,"measurement","kent"
"25",9,"zl1","Chatham Luton Background","o3",1997-01-09,2013-01-22,"urban_background",51.371253,0.542978,"measurement","kent"
"27",10,"zl1","Chatham Luton Background","pm10",1997-01-04,2014-03-20,"urban_background",51.371253,0.542978,"measurement","kent"
"28",12,"zc1","Chatham Roadside","no2",1997-01-12,NA,"roadside",51.374264,0.54797,"measurement","kent"
"30",13,"zc1","Chatham Roadside","pm10",1997-01-12,2010-06-30,"roadside",51.374264,0.54797,"measurement","kent"
"31",287,"zc1","Chatham Roadside","pm25",2010-07-01,NA,"roadside",51.374264,0.54797,"measurement","kent"
"32",55,"zr3","Dartford Bean Interchange Roadside","pm10",2002-11-15,NA,"roadside",51.431571,0.280461,"measurement","kent"
"34",54,"zr3","Dartford Bean Interchange Roadside","no2",2002-11-15,NA,"roadside",51.431571,0.280461,"measurement","kent"
"36",42,"zr1","Dartford St Clements Roadside","no2",1999-06-21,NA,"kerbside",51.448847,0.279047,"measurement","kent"
"37",43,"zr1","Dartford St Clements Roadside","pm10",1999-06-21,NA,"kerbside",51.448847,0.279047,"measurement","kent"
"38",52,"zr2","Dartford Town Centre Roadside","no2",2002-11-19,NA,"roadside",51.442696,0.216186,"measurement","kent"
"40",53,"zr2","Dartford Town Centre Roadside","pm10",2002-11-05,NA,"roadside",51.442696,0.216186,"measurement","kent"
"41",44,"zd2","Dover Centre Roadside","pm10",2000-12-21,NA,"roadside",51.125775,1.318121,"measurement","kent"
"43",183,"zd2","Dover Centre Roadside","no2",2003-02-27,2003-10-21,"roadside",51.125775,1.318121,"measurement","kent"
"46",69,"zd6","Dover Docks","no2",2006-11-16,2013-01-02,"urban_industrial",51.127471,1.335968,"measurement","kent"
"49",17,"zd1","Dover Old Town Hall Roadside","no2",1997-05-21,2012-01-24,"roadside",51.128338,1.30927,"measurement","kent"
"50",19,"zf1","Folkestone Suburban","o3",1997-07-16,2012-01-24,"suburban",51.08706,1.159499,"measurement","kent"
"51",20,"zf1","Folkestone Suburban","pm10",1997-09-03,2012-01-24,"suburban",51.08706,1.159499,"measurement","kent"
"53",18,"zf1","Folkestone Suburban","no2",1997-07-15,2012-01-24,"suburban",51.08706,1.159499,"measurement","kent"
"55",28,"zg2","Gravesham A2 Roadside","no2",1999-01-02,NA,"roadside",51.424402,0.337194,"measurement","kent"
"56",29,"zg2","Gravesham A2 Roadside","pm10",1999-01-02,NA,"roadside",51.424402,0.337194,"measurement","kent"
"57",16,"zg1","Gravesham Background","no2",1997-04-25,2001-08-24,"urban_background",51.432159,0.345421,"measurement","kent"
"59",30,"zg3","Gravesham Industrial Background","no2",1999-01-01,NA,"urban_background",51.444999,0.332033,"measurement","kent"
"61",31,"zg3","Gravesham Industrial Background","pm10",1999-01-02,NA,"urban_background",51.444999,0.332033,"measurement","kent"
"62",233,"bex","London Bexley","no2",1994-05-01,NA,"suburban",51.46603,0.184806,"measurement","kent"
"63",230,"bex","London Bexley","pm10",1994-05-01,2008-05-26,"suburban",51.46603,0.184806,"measurement","kent"
"64",227,"bex","London Bexley","co",1994-05-01,2012-12-31,"suburban",51.46603,0.184806,"measurement","kent"
"66",228,"bex","London Bexley","o3",1994-05-01,2007-09-30,"suburban",51.46603,0.184806,"measurement","kent"
"67",249,"bex","London Bexley","pm25",2008-02-25,NA,"suburban",51.46603,0.184806,"measurement","kent"
"68",41,"zm2","Maidstone A229 Kerbside","pm10",1999-06-01,2016-06-14,"kerbside",51.272794,0.518263,"measurement","kent"
"69",39,"zm2","Maidstone A229 Kerbside","co",1999-06-01,2009-11-18,"kerbside",51.272794,0.518263,"measurement","kent"
"71",40,"zm2","Maidstone A229 Kerbside","no2",1999-06-01,2016-06-14,"kerbside",51.272794,0.518263,"measurement","kent"
"73",35,"zm3","Maidstone Rural","o3",1999-06-01,2015-04-15,"rural",51.307938,0.58265,"measurement","kent"
"74",32,"zm3","Maidstone Rural","no2",1999-01-01,NA,"rural",51.307938,0.58265,"measurement","kent"
"75",33,"zm3","Maidstone Rural","pm10",1999-06-01,2010-10-02,"rural",51.307938,0.58265,"measurement","kent"
"77",1,"roch","Rochester Stoke","no2",1996-01-26,NA,"rural",51.45617,0.634889,"measurement","kent"
"78",5,"roch","Rochester Stoke","o3",1996-01-26,NA,"rural",51.45617,0.634889,"measurement","kent"
"79",2,"roch","Rochester Stoke","pm10",1996-01-26,2009-05-26,"rural",51.45617,0.634889,"measurement","kent"
"80",3,"roch","Rochester Stoke","pm25",1998-04-28,NA,"rural",51.45617,0.634889,"measurement","kent"
"81",205,"sc1","Sevenoaks 1","no2",1996-04-29,1997-09-01,"urban_background",51.383408,0.282061,"measurement","kent"
"83",207,"sc1","Sevenoaks 1","o3",1996-04-29,1997-09-01,"suburban",51.383408,0.282061,"measurement","kent"
"84",23,"zv1","Sevenoaks 2","no2",1990-01-01,NA,"urban_background",51.289624,0.201392,"measurement","kent"
"85",24,"zv1","Sevenoaks 2","o3",1990-01-01,NA,"urban_background",51.289624,0.201392,"measurement","kent"
"86",25,"zv1","Sevenoaks 2","pm10",1990-01-01,NA,"urban_background",51.289624,0.201392,"measurement","kent"
"88",22,"zv1","Sevenoaks 2","co",1990-01-01,NA,"urban_background",51.289624,0.201392,"measurement","kent"
"89",199,"zv2","Sevenoaks roadside","no2",1990-01-01,NA,"roadside",51.288927,0.193486,"measurement","kent"
"91",209,"zv2","Sevenoaks roadside","pm10",1990-01-01,NA,"roadside",51.288927,0.193486,"measurement","kent"
"92",254,"hope","Stanford-le-Hope Roadside","pm10",2008-01-22,2009-03-31,"roadside",51.518167,0.439548,"measurement","kent"
"93",251,"hope","Stanford-le-Hope Roadside","no2",2008-01-22,NA,"roadside",51.518167,0.439548,"measurement","kent"
"95",268,"hope","Stanford-le-Hope Roadside","pm25",2009-04-01,NA,"roadside",51.518167,0.439548,"measurement","kent"
"96",303,"strd","Strood High Street","pm10",2011-05-18,NA,NA,NA,NA,"measurement","kent"
"97",300,"strd","Strood High Street","no2",2011-05-18,NA,NA,NA,NA,"measurement","kent"
"100",305,"zw7","Swale Canterbury Road","no2",2011-07-11,NA,"roadside",51.338062,0.747762,"measurement","kent"
"101",247,"zw4","Swale Newington","no2",2008-02-22,2008-10-31,NA,NA,NA,"measurement","kent"
"104",291,"zw5","Swale Newington 2","no2",2010-06-01,2010-12-31,"roadside",NA,NA,"measurement","kent"
"105",296,"zw6","Swale Newington 3","no2",2011-01-11,NA,"roadside",51.352025,0.667731,"measurement","kent"
"108",278,"zw3","Swale Ospringe Roadside 2","pm10",2009-09-30,NA,"roadside",51.311844,0.873975,"measurement","kent"
"109",68,"zw3","Swale Ospringe Roadside 2","no2",2006-03-15,NA,"roadside",51.311844,0.873975,"measurement","kent"
"111",60,"zw1","Swale Roadside","no2",2003-08-14,2008-02-20,"roadside",51.311939,0.871197,"measurement","kent"
"112",61,"zw1","Swale Roadside","pm10",2003-08-14,2008-08-01,"roadside",51.311939,0.871197,"measurement","kent"
"113",62,"zw2","Swale Sheerness","no2",2003-08-14,2010-11-09,"urban_background",51.440033,0.758652,"measurement","kent"
"114",63,"zw2","Swale Sheerness","pm10",2003-08-14,2010-11-09,"urban_background",51.440033,0.758652,"measurement","kent"
"117",308,"zw8","Swale St Pauls Street","no2",2013-01-21,NA,"roadside",51.346805,0.730639,"measurement","kent"
"119",58,"zh3","Thanet Airport","no2",2003-03-07,2016-04-07,"urban_background",51.338079,1.385915,"measurement","kent"
"120",239,"zh5","Thanet Birchington Roadside","pm10",2007-03-19,NA,"roadside",51.373795,1.307394,"measurement","kent"
"121",236,"zh5","Thanet Birchington Roadside","no2",2007-03-19,NA,"roadside",51.373795,1.307394,"measurement","kent"
"123",48,"zh2","Thanet Margate Background","pm10",2001-02-14,2004-04-30,"urban_background",51.378685,1.382144,"measurement","kent"
"125",47,"zh2","Thanet Margate Background","no2",2002-10-31,2013-03-31,"urban_background",51.378685,1.382144,"measurement","kent"
"126",56,"zh4","Thanet Ramsgate Roadside","no2",2003-01-01,NA,"roadside",51.337905,1.422537,"measurement","kent"
"127",57,"zh4","Thanet Ramsgate Roadside","pm10",2003-02-10,NA,"roadside",51.337905,1.422537,"measurement","kent"
"129",27,"zh1","Thanet Rural","o3",1998-11-23,2008-05-13,"rural",51.320886,1.31379,"measurement","kent"
"130",147,"thur","Thurrock","no2",1996-09-01,NA,"urban_background",51.47707,0.317969,"measurement","kent"
"132",152,"thur","Thurrock","pm10",1996-09-01,2009-03-19,"urban_background",51.47707,0.317969,"measurement","kent"
"133",145,"thur","Thurrock","co",1996-09-01,2007-09-30,"urban_background",51.47707,0.317969,"measurement","kent"
"134",149,"thur","Thurrock","o3",1996-09-01,NA,"urban_background",51.47707,0.317969,"measurement","kent"
"136",14,"zt1","Tonbridge Roadside","no2",1997-03-30,2004-09-27,"roadside",51.192417,0.271394,"measurement","kent"
"137",241,"zt5","Tonbridge Roadside 2","no2",2007-07-10,NA,"roadside",51.192814,0.272301,"measurement","kent"
"139",66,"zt4","Tunbridge Wells A26 Roadside","no2",2005-06-20,NA,"roadside",51.151783,0.2614,"measurement","kent"
"140",67,"zt4","Tunbridge Wells A26 Roadside","pm10",2005-06-21,NA,"roadside",51.151783,0.2614,"measurement","kent"
"142",202,"zt3","Tunbridge Wells Southborough","no2",1997-01-01,2000-05-25,"rural",51.152445,0.243262,"measurement","kent"
"144",36,"zt3","Tunbridge Wells Southborough","o3",1997-04-03,2000-05-25,"rural",51.152445,0.243262,"measurement","kent"
"146",15,"zt2","Tunbridge Wells Town Centre","no2",1997-03-30,2012-01-24,"urban_background",51.132986,0.26393,"measurement","kent"
