"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"5",814,"ards","Ards Glen community centre","pm10",2003-03-01,2006-04-10,"urban_background",54.599072,-5.699291,"measurement","niarc"
"8",985,"ard2","Ards Leisure Centre","pm10",2006-04-11,2011-10-25,"urban_background",54.597019,-5.703319,"measurement","niarc"
"9",878,"arm2","Armagh","pm10",1999-01-01,1999-12-31,NA,54.34214,-6.65771,"measurement","niarc"
"10",816,"arm5","Armagh Lonsdale Road","pm10",2005-01-01,2010-09-03,"roadside",54.353728,-6.654558,"measurement","niarc"
"12",815,"arm5","Armagh Lonsdale Road","no2",2005-01-01,NA,"roadside",54.353728,-6.654558,"measurement","niarc"
"13",879,"arm3","Armagh Shambles Yard","pm10",1999-12-01,2000-01-24,NA,54.34214,-6.65771,"measurement","niarc"
"14",1194,"baly","Ballymena Ballykeel","no2",2016-04-28,NA,NA,54.861595,-6.250873,"measurement","niarc"
"15",818,"baly","Ballymena Ballykeel","pm10",2003-04-01,2008-09-23,NA,54.861595,-6.250873,"measurement","niarc"
"17",817,"baln","Ballymena North Road","no2",2003-03-01,2015-09-30,NA,54.863252,-6.277772,"measurement","niarc"
"19",960,"bmon","Ballymoney Glebeside Estate","pm10",2004-01-01,2010-02-11,NA,55.075312,-6.5088,"measurement","niarc"
"20",725,"bel2","Belfast Centre","o3",1992-03-08,NA,"urban_centre",54.59965,-5.928833,"measurement","niarc"
"21",722,"bel2","Belfast Centre","co",1992-03-08,NA,"urban_centre",54.59965,-5.928833,"measurement","niarc"
"22",731,"bel2","Belfast Centre","pm10",1992-03-08,2008-10-01,"urban_centre",54.59965,-5.928833,"measurement","niarc"
"23",724,"bel2","Belfast Centre","no2",1992-03-08,NA,"urban_centre",54.59965,-5.928833,"measurement","niarc"
"24",1049,"bel2","Belfast Centre","pm25",2008-10-01,NA,"urban_centre",54.59965,-5.928833,"measurement","niarc"
"26",757,"bel4","Belfast Clara St","pm10",2006-01-01,2007-09-30,"suburban",54.591256,-5.89546,"measurement","niarc"
"27",1070,"be1","Belfast Clara St (Local Authority)","pm25",2009-02-23,2010-03-31,"suburban",54.591291,-5.895113,"measurement","niarc"
"28",966,"bel5","Belfast Newtownards Road","no2",2002-04-01,NA,NA,54.594789,-5.857523,"measurement","niarc"
"30",998,"bel0","Belfast Ormeau Road","no2",2006-05-24,NA,"roadside",54.587516,-5.92378,"measurement","niarc"
"33",1003,"bel1","Belfast Stockman's Lane","pm10",2006-04-13,NA,"roadside",54.572586,-5.974944,"measurement","niarc"
"34",989,"bel1","Belfast Stockman's Lane","no2",2006-04-13,NA,"roadside",54.572586,-5.974944,"measurement","niarc"
"36",972,"bel8","Belfast Westlink","pm10",2002-04-04,2006-03-01,NA,54.59985,-5.928833,"measurement","niarc"
