"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"1",135,"amvl","Amvale","pm25",2010-06-01,2013-04-03,NA,53.567706,-0.622228,"measurement","nlincs"
"2",134,"amvl","Amvale","pm10",2010-06-01,NA,NA,53.567706,-0.622228,"measurement","nlincs"
"3",174,"amv2","Amvale Osiris","pm25",2015-05-22,NA,NA,53.5679,-0.6223,"measurement","nlincs"
"4",171,"amv2","Amvale Osiris","pm10",2015-05-22,NA,NA,53.5679,-0.6223,"measurement","nlincs"
"5",155,"nlgr","Grange Lane","pm10",2011-03-15,2012-03-12,"urban_industrial",53.573559,-0.629393,"measurement","nlincs"
"6",156,"nlgr","Grange Lane","pm25",2011-03-15,2012-03-12,"urban_industrial",53.573559,-0.629393,"measurement","nlincs"
"7",69,"apby","North Lincs Appleby","pm10",2005-03-01,2005-08-25,"urban_background",NA,NA,"measurement","nlincs"
"9",85,"apby","North Lincs Appleby","no2",2005-03-01,2005-08-25,"urban_background",NA,NA,"measurement","nlincs"
"10",89,"apb2","North Lincs Appleby Village","pm10",2007-02-07,NA,"urban_background",53.620767,-0.563984,"measurement","nlincs"
"11",118,"bart","North Lincs Barton","pm10",2009-05-29,NA,NA,53.68505,-0.435054,"measurement","nlincs"
"12",119,"bart","North Lincs Barton","pm25",2009-05-29,NA,NA,53.68505,-0.435054,"measurement","nlincs"
"13",47,"nl27","North Lincs Barton Holydyke","no2",2004-01-01,NA,"roadside",53.683545,-0.441591,"measurement","nlincs"
"14",41,"nl21","North Lincs Brigg Barnard Avenue","no2",2004-01-01,NA,"roadside",53.554043,-0.49543,"measurement","nlincs"
"15",42,"nl22","North Lincs Brigg Hewson House (Background)","no2",2004-01-01,NA,"urban_background",53.549169,-0.486743,"measurement","nlincs"
"16",43,"nl23","North Lincs Brigg Hewson House (Roadside)","no2",2004-01-01,NA,"roadside",53.549169,-0.486743,"measurement","nlincs"
"17",44,"nl24","North Lincs Brigg Wrawby Road","no2",2004-01-01,NA,"roadside",53.552549,-0.485324,"measurement","nlincs"
"18",87,"brou","North Lincs Broughton","pm10",2006-03-01,2010-07-23,"urban_background",53.572519,-0.551015,"measurement","nlincs"
"19",164,"chsq","North Lincs Church Square","pm10",2013-07-12,2014-07-11,"urban_industrial",53.59175,-0.64187,"measurement","nlincs"
"20",111,"crow","North Lincs Crowle","pm10",2009-01-30,NA,NA,53.603448,-0.83292,"measurement","nlincs"
"21",114,"crow","North Lincs Crowle","pm25",2009-01-30,NA,NA,53.603448,-0.83292,"measurement","nlincs"
"22",25,"nl04","North Lincs Epworth Belton Road","no2",2004-01-01,NA,"roadside",53.533111,-0.822814,"measurement","nlincs"
"23",170,"hse1","North Lincs High Street East","pm10",2014-08-22,NA,"urban_industrial",53.590539,-0.638399,"measurement","nlincs"
"25",84,"kead","North Lincs Keadby","no2",2003-12-18,2005-02-15,"roadside",53.589583,-0.73859,"measurement","nlincs"
"26",57,"kead","North Lincs Keadby","pm10",2003-12-18,2005-02-15,"roadside",53.589583,-0.73859,"measurement","nlincs"
"27",26,"nl05","North Lincs Keadby Bridge A18","no2",2004-01-01,NA,"roadside",53.585882,-0.731131,"measurement","nlincs"
"28",45,"nl25","North Lincs Killingholme Humber Road","no2",2004-01-01,NA,"roadside",53.629733,-0.247714,"measurement","nlincs"
"29",167,"soki","North Lincs Killingholme Roadside","no2",2013-10-01,NA,"urban_centre",53.62777,-0.265398,"measurement","nlincs"
"32",15,"kilh","North Lincs Killingholme School","pm10",2003-03-01,NA,"urban_industrial",53.629166,-0.264297,"measurement","nlincs"
