"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"576",1995,"ang5","Anglesey Brynteg","pm25",2007-08-01,NA,"urban_background",53.307155,-4.274216,"measurement","waq"
"577",1996,"ang5","Anglesey Brynteg","pm10",2007-08-01,NA,"urban_background",53.307155,-4.274216,"measurement","waq"
"579",3190,"an10","Anglesey Felin Cafnan","pm10",2015-12-16,NA,"rural",53.410479,-4.493642,"measurement","waq"
"580",3191,"an10","Anglesey Felin Cafnan","pm25",2015-12-16,NA,"rural",53.410479,-4.493642,"measurement","waq"
"581",1980,"ang2","Anglesey Llynfaes","pm10",2004-04-06,NA,NA,53.290642,-4.406563,"measurement","waq"
"582",1272,"ang2","Anglesey Llynfaes","pm25",2004-04-06,NA,NA,53.290642,-4.406563,"measurement","waq"
"583",2593,"ang7","Anglesey Penhesgyn","pm10",2011-10-07,2012-11-01,"rural",53.244542,-4.200089,"measurement","waq"
"584",2594,"ang7","Anglesey Penhesgyn","pm25",2011-10-07,2012-11-01,"rural",53.244542,-4.200089,"measurement","waq"
"585",3148,"ang9","Anglesey Penhesgyn 2","pm10",2014-01-14,2016-08-05,NA,53.24528,-4.199496,"measurement","waq"
"586",3149,"ang9","Anglesey Penhesgyn 2","pm25",2014-01-14,2016-08-05,NA,53.24528,-4.199496,"measurement","waq"
"587",1979,"ang1","Anglesey Penlon","pm10",2003-03-04,2007-04-11,NA,53.159902,-4.345197,"measurement","waq"
"588",1268,"ang1","Anglesey Penlon","pm25",2003-03-04,2007-04-11,NA,53.159902,-4.345197,"measurement","waq"
"589",3038,"ang8","Anglesey Wylfa","pm10",2013-01-27,2014-02-13,NA,53.410829,-4.475976,"measurement","waq"
"590",3039,"ang8","Anglesey Wylfa","pm25",2013-01-27,2014-02-13,NA,53.410829,-4.475976,"measurement","waq"
"598",1182,"ah","Aston Hill","no2",1986-06-26,NA,"rural",52.50385,-3.034178,"measurement","waq"
"599",1183,"ah","Aston Hill","o3",1986-06-26,NA,"rural",52.50385,-3.034178,"measurement","waq"
"661",2375,"becr","Bridgend Ewenny Cross Roundabout","no2",2011-02-01,2011-12-31,"roadside",51.495407,-3.577778,"measurement","waq"
"711",1259,"caer","Caerphilly","no2",2004-03-11,2004-06-09,NA,51.575433,-3.227965,"measurement","waq"
"712",1260,"caer","Caerphilly","o3",2004-03-11,2004-06-09,NA,51.575433,-3.227965,"measurement","waq"
"714",2131,"cae5","Caerphilly Blackwood High Street","no2",2009-01-14,NA,"roadside",51.666667,-3.194919,"measurement","waq"
"716",2152,"cae5","Caerphilly Blackwood High Street","pm10",2009-01-14,NA,"roadside",51.666667,-3.194919,"measurement","waq"
"717",3032,"cae8","Caerphilly Fochriw","pm25",2012-05-04,NA,"roadside",51.74032,-3.2983,"measurement","waq"
"718",3031,"cae8","Caerphilly Fochriw","pm10",2012-05-04,NA,"roadside",51.74032,-3.2983,"measurement","waq"
"721",1402,"cae2","Caerphilly Ton-y-Felin Roadside","no2",2004-07-14,2006-05-04,NA,51.575433,-3.227965,"measurement","waq"
"723",1981,"cae2","Caerphilly Ton-y-Felin Roadside","pm10",2004-07-14,2006-05-04,NA,51.575433,-3.227965,"measurement","waq"
"724",1404,"cae2","Caerphilly Ton-y-Felin Roadside","o3",2004-07-14,2006-05-04,NA,51.575433,-3.227965,"measurement","waq"
"725",1946,"cae3","Caerphilly Town Centre","no2",2007-05-01,2007-11-18,NA,51.575433,-3.227965,"measurement","waq"
"727",1987,"cae3","Caerphilly Town Centre","pm10",2007-05-01,2007-11-18,NA,51.575433,-3.227965,"measurement","waq"
"728",1948,"cae3","Caerphilly Town Centre","o3",2007-05-01,2007-11-18,NA,51.575433,-3.227965,"measurement","waq"
"729",2008,"cae4","Caerphilly White Street","pm10",2007-11-19,NA,"roadside",51.573962,-3.218084,"measurement","waq"
"730",2005,"cae4","Caerphilly White Street","no2",2007-11-19,NA,"roadside",51.573962,-3.218084,"measurement","waq"
"732",2007,"cae4","Caerphilly White Street","o3",2007-11-19,2007-11-19,"roadside",51.573962,-3.218084,"measurement","waq"
"739",1972,"car3","Cardiff Briardene","pm10",1998-01-01,2008-05-16,NA,51.502222,-3.19659,"measurement","waq"
"740",1241,"car3","Cardiff Briardene","co",1998-01-01,2008-05-16,NA,51.502222,-3.19659,"measurement","waq"
