integer,statistic_type_in_database,statistic,notes
1,Annual Min,annual_min,
2,Annual Max,annual_max,
3,Annual Mean,annual_mean,
4,Monthly Min,monthly_min,
5,Monthly Max,monthly_max,
6,Monthly Mean,monthly_mean,
7,% Annual data capture,annual_data_capture,
8,% Monthly data capture,monthly_data_capture,
9,% Daily data capture,daily_data_capture,
10,Daily Min,daily_min,
11,Daily Max,daily_max,
12,Daily Mean,daily_mean,
13,98th Percentile of hourly mean,98_percentile_of_hourly_mean,
14,99.9th Percentile of 15 minute mean,99_9_percentile_of_15_minute_mean,
15,99th Percentile of hourly mean,99_percentile_of_hourly_mean,
16,95th Percentile of hourly mean,95_percentile_of_hourly_mean,
17,90th Percentile of hourly mean,90_percentile_of_hourly_mean,
18,75th Percentile of hourly mean,75_percentile_of_hourly_mean,
19,50th Percentile of hourly mean,50_percentile_of_hourly_mean,
20,25th Percentile of hourly mean,25_percentile_of_hourly_mean,
21,10th Percentile of hourly mean,10_percentile_of_hourly_mean,
22,5th Percentile of hourly mean,5_percentile_of_hourly_mean,
23,8 Hour running mean,8_hour_running_mean,
24,24 Hour running mean,24_hour_running_mean,
25,Annual Running Mean,annual_running_mean,
26,Winter mean SO2,winter_mean_so2,
27,Annual Total ,annual_total,new on 2015-12-01
30,Daily Max 8Hour Ozone,daily_max_8_hour_ozone,
31,Hourly Max Ozone,hourly_max_ozone,
32,Annual mean of Daily Max 8Hour,annual_mean_of_daily_max_8_hour,
33,99th Percentile of daily mean,99_percentile_of_daily_mean,
34,98th Percentile of daily mean,98_percentile_of_daily_mean,
35,90th Percentile of daily mean,90_percentile_of_daily_mean,
36,99.8th Percentile of hourly mean,99_8_percentile_of_hourly_mean,
37,99.7th Percentile of hourly mean,99_7_percentile_of_hourly_mean,
38,Daily Max 8Hour CO,daily_max_8_hour_co,
39,Daily Max 15min SO2,daily_max_15_min_so2,
