"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"1",2016-09-23,2016-09-24,"ay1","Aylesbury Walton Street 2","no2",54.028125,74873,12,1,24,"ugm-3","daily_mean",5,"aqe"
"2",2016-09-24,2016-09-25,"ay1","Aylesbury Walton Street 2","no2",31.55625,74873,12,1,24,"ugm-3","daily_mean",5,"aqe"
"3",2016-09-23,2016-09-24,"bai2","Birmingham Airport 2","o3",49.809346,74012,12,1,24,"ugm-3","daily_mean",9,"aqe"
"4",2016-09-24,2016-09-25,"bai2","Birmingham Airport 2","o3",65.109713,74012,12,1,24,"ugm-3","daily_mean",9,"aqe"
"5",2016-09-23,2016-09-24,"bai2","Birmingham Airport 2","no2",25.260938,74010,12,1,24,"ugm-3","daily_mean",5,"aqe"
"6",2016-09-24,2016-09-25,"bai2","Birmingham Airport 2","no2",13.467188,74010,12,1,24,"ugm-3","daily_mean",5,"aqe"
"7",2016-09-23,2016-09-24,"bai2","Birmingham Airport 2","co",0.184332,74008,12,1,27,"mgm-3","daily_mean",1,"aqe"
"8",2016-09-24,2016-09-25,"bai2","Birmingham Airport 2","co",0.135823,74008,12,1,27,"mgm-3","daily_mean",1,"aqe"
"9",2016-09-23,2016-09-24,"bar6","Barnsley A628 Pogmoor Roadside","no2",51.478125,68812,12,1,24,"ugm-3","daily_mean",5,"aqe"
"10",2016-09-24,2016-09-25,"bar6","Barnsley A628 Pogmoor Roadside","no2",28.289063,68812,12,1,24,"ugm-3","daily_mean",5,"aqe"
"11",2016-09-23,2016-09-24,"bn1","Tally Ho","no2",-701.283553,74752,12,1,24,"ugm-3","daily_mean",5,"aqe"
"12",2016-09-24,2016-09-25,"bn1","Tally Ho","no2",-852.975,74752,12,2,24,"ugm-3","daily_mean",5,"aqe"
"13",2016-09-23,2016-09-24,"bn2","London Barnet Chalgrove School","no2",36.576563,74734,12,1,24,"ugm-3","daily_mean",5,"aqe"
"14",2016-09-24,2016-09-25,"bn2","London Barnet Chalgrove School","no2",21.276563,74734,12,1,24,"ugm-3","daily_mean",5,"aqe"
"15",2016-09-23,2016-09-24,"bur1","Bury Radcliffe","no2",21.99375,73203,12,1,24,"ugm-3","daily_mean",5,"aqe"
"16",2016-09-24,2016-09-25,"bur1","Bury Radcliffe","no2",8.048438,73203,12,1,24,"ugm-3","daily_mean",5,"aqe"
"17",2016-09-23,2016-09-24,"bur2","Bury Prestwich","no2",41.596875,73235,12,1,24,"ugm-3","daily_mean",5,"aqe"
"18",2016-09-24,2016-09-25,"bur2","Bury Prestwich","no2",24.304688,73235,12,1,24,"ugm-3","daily_mean",5,"aqe"
"19",2016-09-23,2016-09-24,"cam1","Cambridge Parker Street","no2",37.6125,72419,12,1,24,"ugm-3","daily_mean",5,"aqe"
