"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"1",2016-09-23,2016-09-24,"bex","London Bexley","pm25",6.583333,249,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",8,"kentu"
"2",2016-09-24,2016-09-25,"bex","London Bexley","pm25",NA,249,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",8,"kentu"
"3",2016-09-23,2016-09-24,"bex","London Bexley","no2",24.623438,233,12,1,24,"ugm-3","daily_mean",3,"kentu"
"4",2016-09-24,2016-09-25,"bex","London Bexley","no2",NA,233,12,1,24,"ugm-3","daily_mean",3,"kentu"
"5",2016-09-23,2016-09-24,"cant","Canterbury","pm10",9.666667,46,12,1,111,"ugm-3 (TEOM)","daily_mean",7,"kentu"
"6",2016-09-24,2016-09-25,"cant","Canterbury","pm10",13.041667,46,12,1,111,"ugm-3 (TEOM)","daily_mean",7,"kentu"
"7",2016-09-23,2016-09-24,"cant","Canterbury","o3",38.733211,298,12,1,24,"ugm-3","daily_mean",6,"kentu"
"8",2016-09-24,2016-09-25,"cant","Canterbury","o3",64.195017,298,12,1,24,"ugm-3","daily_mean",6,"kentu"
"9",2016-09-23,2016-09-24,"cant","Canterbury","no2",9.299531,45,12,1,24,"ugm-3","daily_mean",3,"kentu"
"10",2016-09-24,2016-09-25,"cant","Canterbury","no2",5.442656,45,12,1,24,"ugm-3","daily_mean",3,"kentu"
"11",2016-09-23,2016-09-24,"hope","Stanford-le-Hope Roadside","pm25",9.325,268,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",8,"kentu"
"12",2016-09-24,2016-09-25,"hope","Stanford-le-Hope Roadside","pm25",8.266667,268,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",8,"kentu"
"13",2016-09-23,2016-09-24,"hope","Stanford-le-Hope Roadside","no2",33.867188,251,12,1,24,"ugm-3","daily_mean",3,"kentu"
"14",2016-09-24,2016-09-25,"hope","Stanford-le-Hope Roadside","no2",14.487187,251,12,1,24,"ugm-3","daily_mean",3,"kentu"
"15",2016-09-23,2016-09-24,"roch","Rochester Stoke","pm25",8.620833,3,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",26,"kentr"
"16",2016-09-24,2016-09-25,"roch","Rochester Stoke","pm25",13.083333,3,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",26,"kentr"
"17",2016-09-23,2016-09-24,"roch","Rochester Stoke","no2",12.000937,1,12,1,24,"ugm-3","daily_mean",18,"kentr"
"18",2016-09-24,2016-09-25,"roch","Rochester Stoke","no2",5.857031,1,12,1,24,"ugm-3","daily_mean",18,"kentr"
"19",2016-09-23,2016-09-24,"roch","Rochester Stoke","o3",46.000885,5,12,1,24,"ugm-3","daily_mean",27,"kentr"
"20",2016-09-24,2016-09-25,"roch","Rochester Stoke","o3",72.260971,5,12,1,24,"ugm-3","daily_mean",27,"kentr"
"21",2016-09-23,2016-09-24,"thur","Thurrock","o3",37.527475,149,12,1,24,"ugm-3","daily_mean",6,"kentu"
"22",2016-09-24,2016-09-25,"thur","Thurrock","o3",64.211647,149,12,1,24,"ugm-3","daily_mean",6,"kentu"
"23",2016-09-23,2016-09-24,"thur","Thurrock","no2",24.065625,147,12,1,24,"ugm-3","daily_mean",3,"kentu"
"24",2016-09-24,2016-09-25,"thur","Thurrock","no2",8.717813,147,12,1,24,"ugm-3","daily_mean",3,"kentu"
"25",2016-09-23,2016-09-24,"zc1","Chatham Roadside","pm25",4.908333,287,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",8,"kentu"
"26",2016-09-24,2016-09-25,"zc1","Chatham Roadside","pm25",5.35,287,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",8,"kentu"
"27",2016-09-23,2016-09-24,"zc1","Chatham Roadside","no2",38.720156,12,12,1,24,"ugm-3","daily_mean",3,"kentu"
"28",2016-09-24,2016-09-25,"zc1","Chatham Roadside","no2",16.646719,12,12,1,24,"ugm-3","daily_mean",3,"kentu"
"29",2016-09-23,2016-09-24,"zd2","Dover Centre Roadside","pm10",14.791667,44,12,1,111,"ugm-3 (TEOM)","daily_mean",7,"kentu"
"30",2016-09-24,2016-09-25,"zd2","Dover Centre Roadside","pm10",20.125,44,12,1,111,"ugm-3 (TEOM)","daily_mean",7,"kentu"
"31",2016-09-23,2016-09-24,"zg2","Gravesham A2 Roadside","pm10",24.833333,29,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"32",2016-09-24,2016-09-25,"zg2","Gravesham A2 Roadside","pm10",20.666667,29,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"33",2016-09-23,2016-09-24,"zg2","Gravesham A2 Roadside","no2",40.242188,28,12,1,24,"ugm-3","daily_mean",3,"kentu"
"34",2016-09-24,2016-09-25,"zg2","Gravesham A2 Roadside","no2",23.5875,28,12,1,24,"ugm-3","daily_mean",3,"kentu"
"35",2016-09-23,2016-09-24,"zg3","Gravesham Industrial Background","no2",10.757812,30,12,1,24,"ugm-3","daily_mean",3,"kentu"
"36",2016-09-24,2016-09-25,"zg3","Gravesham Industrial Background","no2",4.940625,30,12,1,24,"ugm-3","daily_mean",3,"kentu"
"37",2016-09-23,2016-09-24,"zg3","Gravesham Industrial Background","pm10",12.208333,31,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"38",2016-09-24,2016-09-25,"zg3","Gravesham Industrial Background","pm10",12.791667,31,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"39",2016-09-23,2016-09-24,"zh4","Thanet Ramsgate Roadside","pm10",21.083333,57,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"40",2016-09-24,2016-09-25,"zh4","Thanet Ramsgate Roadside","pm10",26.291667,57,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"41",2016-09-23,2016-09-24,"zh5","Thanet Birchington Roadside","pm10",26.708333,239,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"42",2016-09-24,2016-09-25,"zh5","Thanet Birchington Roadside","pm10",30.208333,239,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"43",2016-09-23,2016-09-24,"zh5","Thanet Birchington Roadside","no2",28.6875,236,12,1,24,"ugm-3","daily_mean",3,"kentu"
"44",2016-09-24,2016-09-25,"zh5","Thanet Birchington Roadside","no2",30.839062,236,12,1,24,"ugm-3","daily_mean",3,"kentu"
"45",2016-09-23,2016-09-24,"zm3","Maidstone Rural","no2",10.757812,32,12,1,24,"ugm-3","daily_mean",18,"kentr"
"46",2016-09-24,2016-09-25,"zm3","Maidstone Rural","no2",5.020313,32,12,1,24,"ugm-3","daily_mean",18,"kentr"
"47",2016-09-23,2016-09-24,"zr1","Dartford St Clements Roadside","pm10",27.041667,43,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
"48",2016-09-24,2016-09-25,"zr1","Dartford St Clements Roadside","pm10",28.875,43,12,1,112,"ugm-3 (BAM)","daily_mean",7,"kentu"
