"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"1",2016-09-23,2016-09-24,"arm5","Armagh Lonsdale Road","no2",15.921563,815,12,1,24,"ugm-3","daily_mean",3,"nire"
"2",2016-09-24,2016-09-25,"arm5","Armagh Lonsdale Road","no2",12.399375,815,12,1,24,"ugm-3","daily_mean",3,"nire"
"3",2016-09-23,2016-09-24,"baly","Ballymena Ballykeel","no2",11.031648,1194,12,1,24,"ugm-3","daily_mean",3,"nire"
"4",2016-09-24,2016-09-25,"baly","Ballymena Ballykeel","no2",6.215625,1194,12,1,24,"ugm-3","daily_mean",3,"nire"
"5",2016-09-23,2016-09-24,"be2","Belfast Westlink Roden Street","no2",16.083333,1080,12,1,24,"ugm-3","daily_mean",3,"nire"
"6",2016-09-24,2016-09-25,"be2","Belfast Westlink Roden Street","no2",7.086957,1080,12,1,24,"ugm-3","daily_mean",3,"nire"
"7",2016-09-23,2016-09-24,"bel0","Belfast Ormeau Road","no2",24.086957,998,12,1,24,"ugm-3","daily_mean",3,"nire"
"8",2016-09-24,2016-09-25,"bel0","Belfast Ormeau Road","no2",15.375,998,12,1,24,"ugm-3","daily_mean",3,"nire"
"9",2016-09-23,2016-09-24,"bel1","Belfast Stockman's Lane","no2",57.486562,989,12,1,24,"ugm-3","daily_mean",3,"nire"
"10",2016-09-24,2016-09-25,"bel1","Belfast Stockman's Lane","no2",33.875156,989,12,1,24,"ugm-3","daily_mean",3,"nire"
"11",2016-09-23,2016-09-24,"bel2","Belfast Centre","co",0.121271,722,12,1,27,"mgm-3","daily_mean",1,"nire"
"12",2016-09-24,2016-09-25,"bel2","Belfast Centre","co",0.11642,722,12,1,27,"mgm-3","daily_mean",1,"nire"
"13",2016-09-23,2016-09-24,"bel2","Belfast Centre","no2",16.890852,724,12,1,24,"ugm-3","daily_mean",3,"nire"
"14",2016-09-24,2016-09-25,"bel2","Belfast Centre","no2",6.5875,724,12,1,24,"ugm-3","daily_mean",3,"nire"
"15",2016-09-23,2016-09-24,"bel2","Belfast Centre","pm25",NA,1049,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"nire"
"16",2016-09-24,2016-09-25,"bel2","Belfast Centre","pm25",NA,1049,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"nire"
"17",2016-09-23,2016-09-24,"bel2","Belfast Centre","o3",40.429556,725,12,1,24,"ugm-3","daily_mean",5,"nire"
"18",2016-09-24,2016-09-25,"bel2","Belfast Centre","o3",52.852788,725,12,1,24,"ugm-3","daily_mean",5,"nire"
"19",2016-09-23,2016-09-24,"bel5","Belfast Newtownards Road","no2",22.416667,966,12,1,24,"ugm-3","daily_mean",3,"nire"
"20",2016-09-24,2016-09-25,"bel5","Belfast Newtownards Road","no2",13.833333,966,12,1,24,"ugm-3","daily_mean",3,"nire"
"21",2016-09-23,2016-09-24,"cas3","Castlereagh Dundonald","no2",16.814062,1010,12,1,24,"ugm-3","daily_mean",3,"nire"
"22",2016-09-24,2016-09-25,"cas3","Castlereagh Dundonald","no2",5.976562,1010,12,1,24,"ugm-3","daily_mean",3,"nire"
"23",2016-09-23,2016-09-24,"der4","Derry Dale's Corner","no2",24.916667,841,12,1,24,"ugm-3","daily_mean",3,"nire"
"24",2016-09-24,2016-09-25,"der4","Derry Dale's Corner","no2",20.173913,841,12,1,24,"ugm-3","daily_mean",3,"nire"
"25",2016-09-23,2016-09-24,"derr","Derry Rosemount","pm25",4.545833,1186,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"nire"
"26",2016-09-24,2016-09-25,"derr","Derry Rosemount","pm25",5.591667,1186,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"nire"
"27",2016-09-23,2016-09-24,"derr","Derry Rosemount","no2",4.335,1183,12,1,24,"ugm-3","daily_mean",3,"nire"
"28",2016-09-24,2016-09-25,"derr","Derry Rosemount","no2",4.470469,1183,12,1,24,"ugm-3","daily_mean",3,"nire"
"29",2016-09-23,2016-09-24,"derr","Derry Rosemount","o3",50.807196,1184,12,1,24,"ugm-3","daily_mean",5,"nire"
"30",2016-09-24,2016-09-25,"derr","Derry Rosemount","o3",50.117016,1184,12,1,24,"ugm-3","daily_mean",5,"nire"
"31",2016-09-23,2016-09-24,"dpk1","Downpatrick Roadside","no2",46.139063,1089,12,1,24,"ugm-3","daily_mean",3,"nire"
"32",2016-09-24,2016-09-25,"dpk1","Downpatrick Roadside","no2",18.965625,1089,12,1,24,"ugm-3","daily_mean",3,"nire"
"33",2016-09-23,2016-09-24,"ln","Lough Navar","o3",41.086474,810,12,1,24,"ugm-3","daily_mean",15,"nir"
"34",2016-09-24,2016-09-25,"ln","Lough Navar","o3",49.80103,810,12,1,24,"ugm-3","daily_mean",15,"nir"
"35",2016-09-23,2016-09-24,"nd2","North Down Holywood A2","no2",8.148011,857,12,1,24,"ugm-3","daily_mean",3,"nire"
"36",2016-09-24,2016-09-25,"nd2","North Down Holywood A2","no2",-9.775,857,12,1,24,"ugm-3","daily_mean",3,"nire"
"37",2016-09-23,2016-09-24,"nwt5","Newtownabbey Antrim Road","no2",36.178125,1025,12,1,24,"ugm-3","daily_mean",3,"nire"
"38",2016-09-24,2016-09-25,"nwt5","Newtownabbey Antrim Road","no2",31.954688,1025,12,1,24,"ugm-3","daily_mean",3,"nire"
