"","date","date_end","site","site_name","variable","value","site_network_id","statistic_type_id","ratified_id","unit_id","unit_name","statistic_type","network_parameter_id","network_id"
"1",2016-08-15,2016-08-16,"abd","Aberdeen Errol Place","pm25",4.375,2618,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"saun"
"2",2016-08-16,2016-08-17,"abd","Aberdeen Errol Place","pm25",5.782609,2618,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"saun"
"3",2016-08-17,2016-08-18,"abd","Aberdeen Errol Place","pm25",5.066667,2618,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"saun"
"4",2016-08-18,2016-08-19,"abd","Aberdeen Errol Place","pm25",8.504348,2618,12,1,118,"ugm-3 (TEOM FDMS)","daily_mean",7,"saun"
"5",2016-08-15,2016-08-16,"abd","Aberdeen Errol Place","no2",19.204688,2003,12,1,24,"ugm-3","daily_mean",3,"saun"
"6",2016-08-16,2016-08-17,"abd","Aberdeen Errol Place","no2",16.547283,2003,12,1,24,"ugm-3","daily_mean",3,"saun"
"7",2016-08-17,2016-08-18,"abd","Aberdeen Errol Place","no2",12.981094,2003,12,1,24,"ugm-3","daily_mean",3,"saun"
"8",2016-08-18,2016-08-19,"abd","Aberdeen Errol Place","no2",21.42,2003,12,1,24,"ugm-3","daily_mean",3,"saun"
"9",2016-08-15,2016-08-16,"abd","Aberdeen Errol Place","o3",32.679588,2004,12,1,24,"ugm-3","daily_mean",5,"saun"
"10",2016-08-16,2016-08-17,"abd","Aberdeen Errol Place","o3",44.946635,2004,12,1,24,"ugm-3","daily_mean",5,"saun"
"11",2016-08-17,2016-08-18,"abd","Aberdeen Errol Place","o3",48.171209,2004,12,1,24,"ugm-3","daily_mean",5,"saun"
"12",2016-08-18,2016-08-19,"abd","Aberdeen Errol Place","o3",51.40229,2004,12,1,24,"ugm-3","daily_mean",5,"saun"
"13",2016-08-15,2016-08-16,"abd0","Aberdeen Market Street 2","no2",19.457609,2691,12,1,24,"ugm-3","daily_mean",3,"saun"
"14",2016-08-16,2016-08-17,"abd0","Aberdeen Market Street 2","no2",18.293478,2691,12,1,24,"ugm-3","daily_mean",3,"saun"
"15",2016-08-17,2016-08-18,"abd0","Aberdeen Market Street 2","no2",NA,2691,12,1,24,"ugm-3","daily_mean",3,"saun"
"16",2016-08-18,2016-08-19,"abd0","Aberdeen Market Street 2","no2",30.849457,2691,12,1,24,"ugm-3","daily_mean",3,"saun"
"17",2016-08-15,2016-08-16,"abd0","Aberdeen Market Street 2","pm25",3.25,3282,12,1,127,"ugm-3 (FIDAS)","daily_mean",7,"saun"
"18",2016-08-16,2016-08-17,"abd0","Aberdeen Market Street 2","pm25",6.208333,3282,12,1,127,"ugm-3 (FIDAS)","daily_mean",7,"saun"
"19",2016-08-17,2016-08-18,"abd0","Aberdeen Market Street 2","pm25",NA,3282,12,1,127,"ugm-3 (FIDAS)","daily_mean",7,"saun"
"20",2016-08-18,2016-08-19,"abd0","Aberdeen Market Street 2","pm25",8.458333,3282,12,1,127,"ugm-3 (FIDAS)","daily_mean",7,"saun"
